date	heart_rate
2014-12-19 13:0:6	73
2014-12-19 13:0:7	73
2014-12-19 13:0:20	73
2014-12-19 13:0:53	73
2014-12-19 13:0:54	73
2014-12-19 13:0:55	73
2014-12-19 13:2:35	73
2014-12-19 13:2:36	73
2014-12-19 13:3:10	73
2014-12-19 13:3:11	73
2014-12-19 13:3:12	73
2014-12-19 13:3:21	73
2014-12-19 13:3:35	73
2014-12-19 13:4:2	73
2014-12-19 13:5:16	73
2014-12-19 13:5:38	73
2014-12-19 13:6:41	73
2014-12-19 13:6:46	73
2014-12-19 13:6:47	73
2014-12-19 13:6:48	73
2014-12-19 13:6:55	73
2014-12-19 13:6:56	73
2014-12-19 13:6:57	73
2014-12-19 14:17:21	73
2015-1-6 10:16:12	73
2015-1-6 10:16:18	73
2015-1-7 11:57:9	73
2015-1-7 14:17:32	73
2015-1-7 15:23:35	73
2015-1-7 16:45:4	73
2015-1-7 17:10:8	73
2015-1-7 17:10:9	73
2015-1-8 10:41:22	73
2015-1-8 15:10:21	73
2015-1-11 13:55:6	73
2015-1-11 13:55:9	73
2015-1-11 13:55:17	73
2015-1-24 11:30:46	73
2014-12-19 12:59:54	72
2014-12-19 12:59:55	72
2014-12-19 12:59:56	72
2014-12-19 12:59:57	72
2014-12-19 13:0:14	72
2014-12-19 13:0:18	72
2014-12-19 13:0:19	72
2014-12-19 13:0:21	72
2014-12-19 13:0:22	72
2014-12-19 13:0:28	72
2014-12-19 13:0:29	72
2014-12-19 13:0:51	72
2014-12-19 13:0:52	72
2014-12-19 13:0:56	72
2014-12-19 13:0:57	72
2014-12-19 13:0:58	72
2014-12-19 13:0:59	72
2014-12-19 13:1:0	72
2014-12-19 13:1:1	72
2014-12-19 13:1:44	72
2014-12-19 13:1:52	72
2014-12-19 13:2:25	72
2014-12-19 13:2:26	72
2014-12-19 13:2:27	72
2014-12-19 13:2:33	72
2014-12-19 13:2:34	72
2014-12-19 13:2:37	72
2014-12-19 13:2:46	72
2014-12-19 13:3:9	72
2014-12-19 13:3:13	72
2014-12-19 13:3:14	72
2014-12-19 13:3:22	72
2014-12-19 13:3:25	72
2014-12-19 13:3:34	72
2014-12-19 13:4:3	72
2014-12-19 13:5:15	72
2014-12-19 13:5:27	72
2014-12-19 13:5:39	72
2014-12-19 13:6:39	72
2014-12-19 13:6:42	72
2014-12-19 13:6:45	72
2014-12-19 13:6:49	72
2014-12-19 13:6:50	72
